objective,explanation,lecture_id,include,category,exam,system
"Discern the difference between the true pelvis, false pelvis, and the perineum",,Overview of the pelvis,y,Anatomy,,Reproduction
Describe muscles that make up the pelvic diaphragm,,Overview of the pelvis,y,Anatomy,,Reproduction
Trace the 5 passageways for structures to enter and leave the pelvis,,Overview of the pelvis,y,Anatomy,,Reproduction
Describe the positional relationships between the pelvic viscera,,Overview of the pelvis,y,Anatomy,,Reproduction
Describe the neurovasculature of the pelvis as it pertains to the reflexes of micturition/defecation,,Overview of the pelvis,y,Anatomy,,Reproduction
Contrast the lymphatic drainage of the pelvis and the perineum,,Overview of the pelvis,y,Anatomy,,Reproduction
Describe the general microscopic organization of the testis and associated structures,,Histology of the reproductive tract 1,y,Anatomy,,Reproduction
"Describe major cell types of the testis, their function and be able to identify them on histological section",,Histology of the reproductive tract 1,y,Anatomy,,Reproduction
Compare and contrast the functional and morphological characteristics of sperm during different stages of spermatogenesis,,Histology of the reproductive tract 1,y,Anatomy,,Reproduction
Describe how the 4 primary tissue types contribute to form the testis and associated structures,,Histology of the reproductive tract 1,y,Anatomy,,Reproduction
Identify key fertility issues,,Histology of the reproductive tract 1,y,Anatomy,,Reproduction
"Describe the general microscopic organization of the ovary, fallopian tube and uterus",,Histology of the reproductive tract 2,y,Anatomy,,Reproduction
"Describe the major cell types of the ovary and uterus, their function and be able to identify them on histological section",,Histology of the reproductive tract 2,y,Anatomy,,Reproduction
Compare and contrast the functional and morphological characteristics of follicles during different stages of folliculogenesis and post-ovulation,,Histology of the reproductive tract 2,y,Anatomy,,Reproduction
"Describe how the 4 primary tissue types contribute to form the ovary, fallopian tube and uterus",,Histology of the reproductive tract 2,y,Anatomy,,Reproduction
"Orient to the perineum, its subdivisions, and fasciae",,Adult reproductive development,y,Anatomy,,Reproduction
Compare the erectile tissues in males and females,,Adult reproductive development,y,Anatomy,,Reproduction
Describe the neurovasculature of the perineum as it pertains to sexual reproduction,,Adult reproductive development,y,Anatomy,,Reproduction
Trace the reproductive tract of males and females,,Adult reproductive development,y,Anatomy,,Reproduction
Describe the process of sexual differentiation from an early indifferent gonad stage,,Adult reproductive development,y,Anatomy,,Reproduction
Define the vulva,,Anatomy of the labia and clitoris,y,Anatomy,,Reproduction
"Describe structure, function and neurovascular supply of the labia minora and majora",,Anatomy of the labia and clitoris,y,Anatomy,,Reproduction
Understand the range of normal anatomical variation in the appearance of the labia,,Anatomy of the labia and clitoris,y,Anatomy,,Reproduction
"Describe structure, function and neurovascular supply of the clitoris",,Anatomy of the labia and clitoris,y,Anatomy,,Reproduction
Compare and contrast development of the labia and clitoris with development of the penis and scrotum,,Anatomy of the labia and clitoris,y,Anatomy,,Reproduction
Define the four major functional components of the male reproductive system,,Male reproduction,y,Physiology,,Reproduction
Describe the processes of spermatogenesis and spermiogenesis,,Male reproduction,y,Physiology,,Reproduction
Explain how sperm is transported through the male reproductive tract,,Male reproduction,y,Physiology,,Reproduction
Describe the role of the hypothalamus and pituitary gland in the regulation of spermatogenesis,,Male reproduction,y,Physiology,,Reproduction
List the hormones secreted by the testes,,Male reproduction,y,Physiology,,Reproduction
Describe the structure and function of the female reproductive organs,,Female reproduction,y,Physiology,,Reproduction
Define the different stages of the ovarian cycle,,Female reproduction,y,Physiology,,Reproduction
Describe the role of the hypothalamus and pituitary gland in the regulation of the ovarian cycle,,Female reproduction,y,Physiology,,Reproduction
List the hormones secreted by the ovary,,Female reproduction,y,Physiology,,Reproduction
Define the different stages of the uterine cycle,,Female reproduction,y,Physiology,,Reproduction
Explain the changes that occur in the uterine endometrium during the menstrual cycle,,Female reproduction,y,Physiology,,Reproduction
"Describe the importance of health promotion for clinicians and public health workers in addressing biological, social and environmental determinants of health",,Introduction to health promotion,y,Health promotion,,
"Explain the key features of major global health promotion frameworks, including the Ottawa Charter, Health in All Policies, Primary Health Care and Planetary Health",,Introduction to health promotion,y,Health promotion,,
Describe oogenesis,,Fertilisation,y,Physiology,,Reproduction
Define sperm capacitation,,Fertilisation,y,Physiology,,Reproduction
Describe sperm penetration of the zona pellucida,,Fertilisation,y,Physiology,,Reproduction
Explain the steps involved in the fusion of the oocyte and sperm membranes,,Fertilisation,y,Physiology,,Reproduction
Describe egg activation,,Fertilisation,y,Physiology,,Reproduction
Describe early embryo development through to implantation,,Pregnancy,y,Physiology,,Reproduction
Explain why implantation failure may occur,,Pregnancy,y,Physiology,,Reproduction
Define the structure and functions of the placenta and amniotic fluid,,Pregnancy,y,Physiology,,Reproduction
Describe the hormonal control of pregnancy,,Pregnancy,y,Physiology,,Reproduction
Define the maternal adaptations of pregnancy,,Pregnancy,y,Physiology,,Reproduction
Define the role of glucocorticoids in foetal maturation,,Birth,y,Physiology,,Reproduction
"Describe the roles of progesterone, estrogen, oxytocin and prostaglandins in the induction of labour",,Birth,y,Physiology,,Reproduction
Define the risks associated with preterm birth,,Birth,y,Physiology,,Reproduction
Describe the initial adjustments of an infant to extrauterine life,,Birth,y,Physiology,,Reproduction
Explain the process of lactation and list the hormones that control this process,,Birth,y,Physiology,,Reproduction
Describe the factors that affect the timing of puberty,,Puberty,y,Physiology,,Reproduction
Define the physical changes of puberty,,Puberty,y,Physiology,,Reproduction
Define the stages of puberty,,Puberty,y,Physiology,,Reproduction
Explain how the HPG axis is activated at puberty,,Puberty,y,Physiology,,Reproduction
Describe the metabolic regulation of puberty,,Puberty,y,Physiology,,Reproduction
Define the mechanisms and pathophysiology of the menopause,,Menopause,y,Physiology,,Reproduction
Describe the causes of premature ovarian insufficiency,,Menopause,y,Physiology,,Reproduction
List the commonly reported menopausal symptoms and explain the mechanisms underlying hot flushes,,Menopause,y,Physiology,,Reproduction
Discuss the long-term consequences of menopause and treatment options available,,Menopause,y,Physiology,,Reproduction
Recognise the unique challenges faced for controlling sexually transmitted infections (STIs),,Sexually transmitted & genital infections,y,Physiology,,Reproduction
Describe common STIs and their causative organism,,Sexually transmitted & genital infections,y,Physiology,,Reproduction
"Explain the transmission, clinical presentation and pathogenesis",,Sexually transmitted & genital infections,y,Physiology,,Reproduction
