lecture_id,content,
"Clinical anatomy of lungs, pleura & spaces",,
Respiratory module 1: Biomechanics of breathing,,
Respiratory module 2: Ventilation perfusion and gas exchange,,
Respiratory module 3: Transport of gases and control of breathing,,
Upper respiratory tract infections,,
"Respiratory immunology, allergy, and host defence",,
Asthma and COPD,,
Pulmonary antimicrobials,,
Development & adult anatomy of the foregut,,
Development & adult anatomy of the midgut and hindgut,,
Anterior abdominal wall & descent of testes,,
Introduction and neuronal control of the gut,,
Gut motility,,
Gut secretions 1,,
Gut secretions 2,,
Bile synthesis and the enterohepatic circulation,,
Jaundice,,
Infection of the gut,,
Drugs affecting GIT motility,,
Key concepts in nutrition science,,
"Nutrients in the body, deficiencies and excesses",,
Nutritional assessment & dietary guidelines,,
"Altered nutrition requirements, myths & misconceptions",,
The nephron & posterior abdominal wall & kidneys,,
Developmental & congenital abnormalities of the renal system,,
Renal filtration and clearance,,
Micturition and continence,,
Urinary tract infections,,
Renal tubular mechanisms,,
Fluid osmolarity and water balance,,
Acid/base balance of biological fluids,,
Renal handling of bicarbonate,,
Introduction to the pharmacology of hypertension,,
Diuretics and pharmacological treatment of renal disorders,,
Acid/base disorders and compensation,,
Acute kidney injury and chronic kidney disease,,
Components of the endocrine system,,
The hypothalamus and pituitary gland,,
Calcium balance,,
Osteoporosis,,
Endocrine response to stress,,
Thyroid gland,,
Drugs and thyroid disease,,
Diabetes overview  and complications of diabetes,,
Diabetes therapeutics,,
